host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,room_type,bathrooms,accommodates,bedrooms,square_feet,price,number_of_reviews,has_availability,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1698603,2012-02-04,within an hour,TRUE,2,2,Roncesvalles,Entire home/apt,1,4,1,0,$139.00,50,TRUE,98,10,10,10,10,10,10
2577688,2012-06-07,N/A,FALSE,1,1,Niagara,Shared room,1,1,1,NA,$66.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
2597290,2012-06-10,within a few hours,TRUE,5,5,Trinity-Bellwoods,Private room,1,2,1,0,$54.00,150,TRUE,94,10,9,10,10,10,10
2597290,2012-06-10,within a few hours,TRUE,5,5,Trinity-Bellwoods,Private room,1,2,1,0,$54.00,110,TRUE,93,10,9,10,10,10,9
1019968,2011-08-25,within an hour,TRUE,3,3,Waterfront Communities-The Island,Entire home/apt,1,5,1,7535,$220.00,142,TRUE,97,10,10,10,10,10,10
2511000,2012-05-31,within a day,FALSE,24,24,Moss Park,Private room,1,2,1,0,$80.00,8,TRUE,70,9,7,8,8,9,7
2511000,2012-05-31,within a day,FALSE,24,24,Moss Park,Private room,3.5,2,1,NA,$76.00,12,TRUE,83,9,8,9,9,8,9
2511000,2012-05-31,within a day,FALSE,24,24,Moss Park,Hotel room,1,1,1,NA,$54.00,24,TRUE,83,9,8,9,9,8,9
2511000,2012-05-31,within a day,FALSE,24,24,Moss Park,Private room,3.5,2,1,NA,$65.00,4,TRUE,65,8,8,8,8,7,7
2511000,2012-05-31,within a day,FALSE,24,24,Moss Park,Private room,1,2,1,NA,$65.00,12,TRUE,75,9,8,9,9,7,8
2511000,2012-05-31,within a day,FALSE,24,24,Moss Park,Private room,1,2,1,NA,$60.00,13,TRUE,80,9,9,9,10,8,9
2511000,2012-05-31,within a day,FALSE,24,24,Moss Park,Private room,1,2,1,NA,$60.00,5,TRUE,60,9,7,9,8,6,7
2586974,2012-06-09,N/A,FALSE,1,1,Mimico (includes Humber Bay Shores),Private room,3,2,1,1500,$200.00,0,TRUE,NA,NA,NA,NA,NA,NA,NA
436011,2011-03-11,within an hour,FALSE,1,1,Little Portugal,Private room,1,2,1,NA,$69.00,208,TRUE,91,10,9,10,10,10,10
2671905,2012-06-18,N/A,FALSE,1,1,Waterfront Communities-The Island,Entire home/apt,1,2,2,NA,$199.00,11,TRUE,94,10,7,10,9,10,9
2692759,2012-06-20,N/A,FALSE,1,1,Palmerston-Little Italy,Entire home/apt,1,6,2,NA,$90.00,3,TRUE,100,10,10,10,10,9,9
